from_lat,from_lon,to_lat,to_lon,duration_min
59.3938,17.906,59.3846,17.8956,4.88
59.4291,17.9484,59.4393,17.9287,3.691666666666667
59.39,18.0426,59.43,17.9481,13.43
59.3792,17.978,59.3851,18.0051,4.915
59.3833,17.8982,59.3634,17.871,7.439999999999999
59.2768,17.9091,59.1998,17.8339,15.436666666666667
59.3756,17.9702,59.3823,17.9363,4.253333333333333
59.2983,18.0818,59.2716,18.0941,3.756666666666667
59.3532,18.0319,59.3422,18.0478,4.931666666666667
59.3583,17.9977,59.3327,17.981,9.286666666666669
59.3827,17.898,59.3767,17.866,4.975
59.383,17.8988,59.395,17.9034,5.180000000000001
59.4017,18.3493,59.4031,18.3274,2.131666666666667
59.3336,18.0648,59.4302,17.9474,19.335
59.3179,18.0215,59.3157,18.0342,2.805
59.3801,17.98,59.3911,18.0434,7.433333333333334
59.3829,17.899,59.3634,17.8706,7.495
59.3529,18.0318,59.3853,18.0437,7.396666666666666
59.3803,17.9772,59.4036,17.9424,7.996666666666667
59.3938,17.906,59.3824,17.9003,4.161666666666666
59.3111,18.1967,59.3128,18.2101,3.015
59.3905,17.8834,59.3634,17.8707,7.319999999999999
59.38,17.9778,59.3802,17.9532,2.438333333333333
59.4807,18.2875,59.4779,18.3029,3.1566666666666667
59.3614,17.9735,59.3585,17.9989,4.496666666666667
59.404,17.9418,59.3849,17.9274,4.638333333333334
59.4291,17.9484,59.4391,17.9343,4.355
59.382,17.9008,59.3635,17.8709,7.819999999999999
59.3829,17.8989,59.3633,17.8712,7.443333333333333
59.3758,17.9701,59.3328,17.9791,13.291666666666666
59.6288,17.8606,59.6284,17.8781,4.381666666666666
59.3336,18.0649,59.4375,17.9301,19.265
59.3295,18.2731,59.3266,18.2606,2.2816666666666667
59.2708,18.0945,59.1729,18.1699,13.311666666666667
59.4036,17.9423,59.4132,17.9017,7.025
59.3572,18.1023,59.3769,18.1282,6.258333333333334
59.3427,18.05,59.4303,17.9475,18.48333333333333
59.2977,18.0823,59.2528,18.1631,11.158333333333331
59.3574,18.1029,59.3417,18.1146,6.2683333333333335
59.3811,18.0025,59.3781,18.0103,1.61
59.3933,17.9056,59.3824,17.9001,4.069999999999999
59.353,18.0322,59.3908,18.0435,8.681666666666667
59.3293,18.0545,59.3238,18.2517,18.69333333333333
59.2768,17.9091,59.1998,17.8345,15.575
59.3572,18.1022,59.3734,18.1717,7.611666666666666
59.3755,17.9402,59.3383,17.9368,11.158333333333331
59.3827,17.8995,59.3898,17.9048,3.1866666666666665
59.3586,17.997,59.3489,18.012,5.493333333333334
59.3603,18.1716,59.3515,18.1515,5.566666666666666
59.3501,18.0483,59.3528,18.0315,4.573333333333333
59.1905,18.1255,59.1858,18.136,5.239999999999999
59.4572,17.9235,59.3421,18.0478,19.923333333333336
59.3339,18.0646,59.3421,18.0478,5.303333333333333
59.4576,17.9238,59.4302,17.9473,6.095
59.1745,18.1446,59.1742,18.1761,5.1066666666666665
59.3514,18.152,59.3575,18.1592,3.1866666666666665
59.3185,18.079,59.2789,18.3122,20.535
59.3937,17.906,59.3824,17.9003,4.141666666666667
59.3572,18.1022,59.3629,18.1188,2.248333333333333
59.3583,17.9981,59.3644,17.9664,5.386666666666667
59.3938,17.8767,59.3823,17.9,4.86
59.3755,17.9697,59.3801,17.9532,2.8400000000000003
59.3583,17.9982,59.3894,17.9437,11.456666666666669
59.3337,18.0649,59.4228,17.9248,16.733333333333334
59.3939,17.9061,59.3913,17.914,2.771666666666667
59.3193,18.0796,59.3087,18.1203,13.073333333333332
59.4293,17.948,59.4372,17.9303,3.31
59.3583,17.9981,59.3489,18.0121,4.863333333333333
59.3572,18.1022,59.3711,18.1469,5.798333333333333
59.3548,17.9731,59.3792,18.0229,8.778333333333334
59.4476,18.0871,59.4443,18.0742,1.575
59.1185,17.552,59.0668,17.6188,14.661666666666669
59.3309,18.0568,59.3087,18.0884,7.281666666666666
59.4292,17.9481,59.4619,17.8984,10.331666666666669
59.4152,17.9132,59.4121,17.8978,2.283333333333333
59.3325,18.029,59.3182,18.0319,4.430000000000001
59.3339,18.0646,59.4216,17.926,16.348333333333333
59.3383,17.9377,59.3469,17.9279,3.3183333333333334
59.3574,18.102,59.3716,18.1324,4.806666666666667
59.3757,17.9703,59.3801,17.9532,2.7516666666666665
59.3641,17.8348,59.3918,17.8183,8.828333333333335
59.4768,17.7398,59.5011,17.6688,6.64
59.3757,17.9697,59.3934,17.9882,7.651666666666667
59.3512,18.152,59.3676,18.1542,4.23
59.343,18.0481,59.3882,18.0428,10.093333333333334
59.2974,18.0812,59.1732,18.1641,16.513333333333332
